feedback_id,patient_id,hospital_id,doctor_id,rating,comments,feedback_date
FB00000001,PAT023708,H003,DOC0196,2,Emergency department was chaotic and clearly understaffed.,2024-06-08
FB00000002,PAT017047,H001,DOC0071,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-06-05
FB00000003,PAT012212,H004,DOC0274,1,"Hospital was severely overcrowded, could not find a bed.",2025-03-07
FB00000004,PAT014576,H002,DOC0151,5,Doctor explained my condition thoroughly and answered all questions.,2025-02-08
FB00000005,PAT056119,H001,DOC0079,2,Cleanliness of the wards needs significant improvement.,2025-01-13
FB00000006,PAT013732,H001,DOC0071,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-06-13
FB00000007,PAT012586,H001,DOC0042,1,Cleanliness of the wards needs significant improvement.,2025-03-07
FB00000008,PAT024448,H003,DOC0244,4,"Excellent care, clean facility, and attentive nursing staff.",2025-03-23
FB00000009,PAT060739,H001,DOC0034,4,Very professional doctors. Quick and efficient service.,2024-08-28
FB00000010,PAT062502,H008,DOC0523,2,Follow-up appointment was postponed twice without explanation.,2024-12-29
FB00000011,PAT015737,H001,DOC0075,4,"Excellent care, clean facility, and attentive nursing staff.",2024-07-04
FB00000012,PAT069486,H006,DOC0416,4,Doctor explained my condition thoroughly and answered all questions.,2025-02-25
FB00000013,PAT074423,H003,DOC0218,4,Outstanding care in the ICU. Nurses were exceptional.,2024-08-18
FB00000014,PAT024318,H003,DOC0203,5,Follow-up was prompt and well-coordinated. Highly recommend.,2024-07-06
FB00000015,PAT050095,H001,DOC0059,1,Billing process was confusing and poorly explained.,2025-03-29
FB00000016,PAT058991,H004,DOC0260,1,Extremely long waiting time — over 3 hours for a simple consultation.,2024-10-14
FB00000017,PAT006449,H003,DOC0199,4,Outstanding care in the ICU. Nurses were exceptional.,2024-10-21
FB00000018,PAT058803,H002,DOC0157,1,Doctor seemed rushed and did not adequately explain my diagnosis.,2025-02-01
FB00000019,PAT053886,H002,DOC0146,1,Cleanliness of the wards needs significant improvement.,2025-04-11
FB00000020,PAT042888,H001,DOC0050,4,Outstanding care in the ICU. Nurses were exceptional.,2024-08-19
FB00000021,PAT043974,H003,DOC0204,1,"Hospital was severely overcrowded, could not find a bed.",2024-09-02
FB00000022,PAT073533,H001,DOC0014,3,Service was acceptable but administrative processes are slow.,2024-09-27
FB00000023,PAT000094,H006,DOC0377,1,Emergency department was chaotic and clearly understaffed.,2024-08-21
FB00000024,PAT002061,H002,DOC0167,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-06-29
FB00000025,PAT031730,H003,DOC0214,4,Doctor explained my condition thoroughly and answered all questions.,2024-09-18
FB00000026,PAT054967,H002,DOC0105,3,Average experience overall. Nothing exceptional but no major complaints.,2024-08-26
FB00000027,PAT001028,H008,DOC0454,4,"Excellent care, clean facility, and attentive nursing staff.",2024-11-29
FB00000028,PAT051309,H002,DOC0101,2,Pharmacy was out of my prescribed medication for 2 days.,2024-07-04
FB00000029,PAT052330,H001,DOC0022,1,Pharmacy was out of my prescribed medication for 2 days.,2024-12-22
FB00000030,PAT032610,H003,DOC0183,4,"Excellent care, clean facility, and attentive nursing staff.",2025-01-12
